vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,MacroIndustryData,中国对美国进出口总额2020年至2026年月度,1,EDB取数,,,"| 指标代码 | 指标名称 | 频率 | 单位 | 值 | 日期 | 数据来源 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 42649484.919 | 2024-02-29 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 56904075.672 | 2024-01-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 57181510.203 | 2023-12-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 57798471.83 | 2023-11-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 55511276.131 | 2023-10-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 58852940.644 | 2023-09-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 57007861.11 | 2023-08-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 54321606.229 | 2023-07-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 56667068.242 | 2023-06-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 56792837.132 | 2023-05-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 56363401.443 | 2023-04-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 59760875.443 | 2023-03-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 42512278.652 | 2023-02-28 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 59335253.237 | 2023-01-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 61282802.505 | 2022-12-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 57281707.561 | 2022-11-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 59841900.624 | 2022-10-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 65447017.108 | 2022-09-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 62776883.83 | 2022-08-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 68563658.506 | 2022-07-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 70552351.409 | 2022-06-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 67837692.336 | 2022-05-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 59781074.833 | 2022-04-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 62535793.783 | 2022-03-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 52898055.064 | 2022-02-28 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 70418922.225 | 2022-01-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 73497232.101 | 2021-12-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 72486619.415 | 2021-11-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 66794005.125 | 2021-10-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 72795884.126 | 2021-09-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 65759822.977 | 2021-08-31 | 海关总署 |
