date,realtime_end,realtime_start,value
2024-01-01,2026-08-01,2026-08-01,3.08834
2024-02-01,2026-08-01,2026-08-01,3.15707
2024-03-01,2026-08-01,2026-08-01,3.48683
2024-04-01,2026-08-01,2026-08-01,3.3608
2024-05-01,2026-08-01,2026-08-01,3.24428
2024-06-01,2026-08-01,2026-08-01,2.97026
2024-07-01,2026-08-01,2026-08-01,2.94148
2024-08-01,2026-08-01,2026-08-01,2.60714
2024-09-01,2026-08-01,2026-08-01,2.42648
2024-10-01,2026-08-01,2026-08-01,2.57884
2024-11-01,2026-08-01,2026-08-01,2.71947
2024-12-01,2026-08-01,2026-08-01,2.87069
2025-01-01,2026-08-01,2026-08-01,2.99098
2025-02-01,2026-08-01,2026-08-01,2.80158
2025-03-01,2026-08-01,2026-08-01,2.38198
2025-04-01,2026-08-01,2026-08-01,2.32539
2025-05-01,2026-08-01,2026-08-01,2.37727
2025-06-01,2026-08-01,2026-08-01,2.68045
2025-07-01,2026-08-01,2026-08-01,2.74262
2025-08-01,2026-08-01,2026-08-01,2.93859
2025-09-01,2026-08-01,2026-08-01,3.02257
2025-10-01,2026-08-01,2026-08-01,
2025-11-01,2026-08-01,2026-08-01,2.69644
2025-12-01,2026-08-01,2026-08-01,2.6533
2026-01-01,2026-08-01,2026-08-01,2.3912
2026-02-01,2026-08-01,2026-08-01,2.434
2026-03-01,2026-08-01,2026-08-01,3.28596
2026-04-01,2026-08-01,2026-08-01,3.77925
2026-05-01,2026-08-01,2026-08-01,4.16661
2026-06-01,2026-08-01,2026-08-01,3.46353
