date,realtime_end,realtime_start,value
2015-06-01,2026-08-03,2026-08-03,76.6945
2015-07-01,2026-08-03,2026-08-03,77.3337
2015-08-01,2026-08-03,2026-08-03,77.1158
2015-09-01,2026-08-03,2026-08-03,76.926
2015-10-01,2026-08-03,2026-08-03,76.827
2015-11-01,2026-08-03,2026-08-03,76.6246
2015-12-01,2026-08-03,2026-08-03,76.4118
2016-01-01,2026-08-03,2026-08-03,76.6964
2016-02-01,2026-08-03,2026-08-03,76.4063
2016-03-01,2026-08-03,2026-08-03,76.3208
2016-04-01,2026-08-03,2026-08-03,76.2043
2016-05-01,2026-08-03,2026-08-03,76.1095
2016-06-01,2026-08-03,2026-08-03,76.2442
2016-07-01,2026-08-03,2026-08-03,76.2506
2016-08-01,2026-08-03,2026-08-03,75.904
2016-09-01,2026-08-03,2026-08-03,76.0291
2016-10-01,2026-08-03,2026-08-03,76.0921
2016-11-01,2026-08-03,2026-08-03,76.0292
2016-12-01,2026-08-03,2026-08-03,76.0673
2017-01-01,2026-08-03,2026-08-03,76.2213
2017-02-01,2026-08-03,2026-08-03,76.1845
2017-03-01,2026-08-03,2026-08-03,75.9999
2017-04-01,2026-08-03,2026-08-03,76.9785
2017-05-01,2026-08-03,2026-08-03,76.962
2017-06-01,2026-08-03,2026-08-03,77.119
2017-07-01,2026-08-03,2026-08-03,76.9178
2017-08-01,2026-08-03,2026-08-03,76.8894
2017-09-01,2026-08-03,2026-08-03,77.0102
2017-10-01,2026-08-03,2026-08-03,77.9179
2017-11-01,2026-08-03,2026-08-03,78.0466
2017-12-01,2026-08-03,2026-08-03,77.9264
2018-01-01,2026-08-03,2026-08-03,77.7567
2018-02-01,2026-08-03,2026-08-03,78.4742
2018-03-01,2026-08-03,2026-08-03,78.4626
2018-04-01,2026-08-03,2026-08-03,79.0447
2018-05-01,2026-08-03,2026-08-03,78.4247
2018-06-01,2026-08-03,2026-08-03,78.9473
2018-07-01,2026-08-03,2026-08-03,79.0213
2018-08-01,2026-08-03,2026-08-03,79.2129
2018-09-01,2026-08-03,2026-08-03,79.2511
2018-10-01,2026-08-03,2026-08-03,78.9436
2018-11-01,2026-08-03,2026-08-03,78.747
2018-12-01,2026-08-03,2026-08-03,79.0103
2019-01-01,2026-08-03,2026-08-03,78.3218
2019-02-01,2026-08-03,2026-08-03,77.8923
2019-03-01,2026-08-03,2026-08-03,77.7067
2019-04-01,2026-08-03,2026-08-03,77.2434
2019-05-01,2026-08-03,2026-08-03,77.2603
2019-06-01,2026-08-03,2026-08-03,77.6047
2019-07-01,2026-08-03,2026-08-03,77.0847
2019-08-01,2026-08-03,2026-08-03,77.6077
2019-09-01,2026-08-03,2026-08-03,77.028
2019-10-01,2026-08-03,2026-08-03,76.426
2019-11-01,2026-08-03,2026-08-03,77.0781
2019-12-01,2026-08-03,2026-08-03,77.2042
2020-01-01,2026-08-03,2026-08-03,77.0311
2020-02-01,2026-08-03,2026-08-03,77.2279
2020-03-01,2026-08-03,2026-08-03,73.7382
2020-04-01,2026-08-03,2026-08-03,62.5589
2020-05-01,2026-08-03,2026-08-03,65.3028
2020-06-01,2026-08-03,2026-08-03,70.4285
2020-07-01,2026-08-03,2026-08-03,73.0801
2020-08-01,2026-08-03,2026-08-03,74.3046
2020-09-01,2026-08-03,2026-08-03,74.4348
2020-10-01,2026-08-03,2026-08-03,75.295
2020-11-01,2026-08-03,2026-08-03,75.7534
2020-12-01,2026-08-03,2026-08-03,76.3888
2021-01-01,2026-08-03,2026-08-03,77.1897
2021-02-01,2026-08-03,2026-08-03,74.1452
2021-03-01,2026-08-03,2026-08-03,76.4953
